id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
14269400,JK342273,2026-07-18T00:00:00.000,065XX S EVANS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0321,003,20,42,05,1182344,1861797,2026,2026-07-25T16:47:30.000,41.775987505,-87.60708865,"{'latitude': '41.775987505', 'longitude': '-87.60708865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,9,332,4,60,18,206,20
14269135,JK341999,2026-07-18T00:00:00.000,024XX S SAWYER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1024,010,25,30,26,1155082,1887563,2026,2026-07-25T16:47:30.000,41.847281168,-87.706340185,"{'latitude': '41.847281168', 'longitude': '-87.706340185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,32,291,1,57,21,130,25
14268370,JK340619,2026-07-18T00:00:00.000,065XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CONSTRUCTION SITE,False,False,0321,003,20,42,14,1182016,1861840,2026,2026-07-25T16:47:30.000,41.776113096,-87.60828973,"{'latitude': '41.776113096', 'longitude': '-87.60828973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,9,332,4,60,18,206,20
14266618,JK338919,2026-07-18T00:00:00.000,044XX W OGDEN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1013,010,22,29,08B,1147364,1887623,2026,2026-07-25T16:47:30.000,41.847596951,-87.734663977,"{'latitude': '41.847596951', 'longitude': '-87.734663977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,30,125,28,57,21,161,22
14266273,JK338603,2026-07-18T00:00:00.000,111XX S COTTAGE GROVE AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,True,False,0531,005,9,50,07,1181773,1831020,2026,2026-07-25T16:47:30.000,41.691545041,-87.610129904,"{'latitude': '41.691545041', 'longitude': '-87.610129904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,253,43,19,10,265,11
14265776,JK337970,2026-07-18T00:00:00.000,067XX S CONSTANCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0332,003,5,43,08B,1189698,1860727,2026,2026-07-25T16:47:30.000,41.772877757,-87.580164253,"{'latitude': '41.772877757', 'longitude': '-87.580164253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,381,33,24,18,212,3
14265967,JK338261,2026-07-18T00:00:00.000,001XX N HOYNE AVE,0460,BATTERY,SIMPLE,STREET,False,False,1223,012,27,28,08B,1162390,1900901,2026,2026-07-25T16:47:30.000,41.883732346,-87.679146759,"{'latitude': '41.883732346', 'longitude': '-87.679146759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,37,46,28,15,75,27
14268170,JK340818,2026-07-18T00:00:00.000,002XX N KOLMAR AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SCHOOL - PRIVATE BUILDING,False,False,1113,011,28,26,14,1146037,1900783,2026,2026-07-25T16:47:30.000,41.883734918,-87.739199887,"{'latitude': '41.883734918', 'longitude': '-87.739199887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,732,23,30,16,90,28
14270101,JK342622,2026-07-18T00:00:00.000,022XX W ROSCOE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1921,019,32,5,11,1160871,1922541,2026,2026-07-25T16:47:30.000,41.943145735,-87.684123166,"{'latitude': '41.943145735', 'longitude': '-87.684123166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,21538,46,615,40,39,5,21,32
14266465,JK338366,2026-07-18T00:00:00.000,003XX W 116TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0522,005,21,53,08B,1176179,1828007,2026,2026-07-25T16:47:30.000,41.68340397,-87.630700035,"{'latitude': '41.68340397', 'longitude': '-87.630700035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,50,255,22,19,10,267,21
